WMO,Modifier,Name,Country,Latitude,Longitude,Elevation,Average N,Ave. Mon. Temp.,HotMonth,ColdMonth,SeasonA,SeasonB,MonthsAbove10,P & T
17022,0,ZONGULDAK,TURKEY,41.45,31.8,136,43.25,13.41,21.27,5.92,9.03,17.80,8,Yes
17024,1,BOZKURT,TURKEY,41.87,34,167,30.00,13.31,21.64,5.51,8.70,17.91,8,Yes
17026,0,SINOP,TURKEY,42.03,35.17,32,30.00,14.24,22.53,7.05,10.04,18.45,8,Yes
17030,0,SAMSUN,TURKEY,41.28,36.33,4,77.17,14.49,23.36,7.12,10.14,18.83,8,Yes
17034,0,GIRESUN,TURKEY,40.92,38.4,38,42.92,14.59,23.04,7.30,10.30,18.88,8,Yes
17038,0,TRABZON,TURKEY,41,39.72,30,40.00,14.72,22.92,7.79,10.56,18.87,8,Yes
17040,2,RIZE,TURKEY,41,40.5,4,61.92,14.16,22.89,6.10,9.43,18.89,8,Yes
17050,0,EDIRNE,TURKEY,41.67,26.57,48,75.00,13.18,24.21,2.10,6.57,19.80,7,Yes
17052,2,LULEBURGAZ,TURKEY,41.4,27.4,46,30.00,12.42,21.93,2.58,6.69,18.14,7,No
17056,0,TEKIRDAG,TURKEY,40.98,27.48,4,30.00,13.73,22.73,4.77,8.55,18.91,8,Yes
17056,1,CORLU,TURKEY,41.2,27.8,183,30.00,13.15,22.47,3.43,7.49,18.82,7,No
17059,1,SARIYER,TURKEY,41.2,29.1,5,30.00,13.88,22.59,5.49,9.07,18.70,8,No
17059,2,BAHCEKOY ORMAN,TURKEY,41.2,29.1,130,30.00,13.11,21.71,4.57,8.15,18.08,8,No
17059,3,KUMKOY,TURKEY,41.3,29,30,30.00,13.73,22.59,5.52,9.00,18.46,8,Yes
17060,1,FLORYA,TURKEY,41,28.8,36,30.00,14.47,23.64,5.64,9.32,19.62,8,No
17062,0,ISTANBUL/GOZT,TURKEY,40.97,29.08,33,139.42,14.43,23.93,5.72,9.15,19.70,8,Yes
17062,1,YALOVA,TURKEY,40.7,29.3,2,30.00,14.21,22.48,6.31,9.61,18.81,8,No
17067,1,KOCAELI,TURKEY,40.8,29.9,76,30.00,15.19,23.72,6.44,10.10,20.27,8,No
17068,1,BILECIK,TURKEY,40.2,30,526,30.00,12.58,21.61,2.51,6.98,18.17,7,No
17069,0,ADAPAZARI,TURKEY,40.78,30.42,30,30.00,14.86,23.39,6.01,9.75,19.97,8,No
17070,0,BOLU,TURKEY,40.73,31.6,742,38.92,10.68,19.73,1.24,5.21,16.15,6,Yes
17074,0,KASTAMONU,TURKEY,41.37,33.77,799,55.00,9.21,19.35,-1.09,3.12,15.29,6,Yes
17084,0,CORUM,TURKEY,40.55,34.97,776,43.08,10.63,20.33,0.12,4.63,16.63,7,Yes
17086,0,TOKAT,TURKEY,40.3,36.57,608,30.00,12.59,21.66,1.97,6.76,18.42,7,No
17088,1,BAYBURT,TURKEY,40.3,40.2,1550,30.00,7.22,18.75,-6.16,0.03,14.41,5,No
17090,0,SIVAS,TURKEY,39.75,37.02,1285,74.17,8.95,19.82,-3.23,2.10,15.80,6,Yes
17092,0,ERZINCAN,TURKEY,39.73,39.5,1215,55.17,10.22,23.23,-3.58,2.28,18.15,7,Yes
17096,0,ERZURUM,TURKEY,39.92,41.27,1758,72.42,5.29,18.79,-9.16,-2.86,13.44,5,Yes
17098,0,KARS,TURKEY,40.6,43.08,1775,42.83,4.94,17.66,-10.02,-3.10,12.98,5,Yes
17098,2,ARDAHAN,TURKEY,41.1,42.7,1829,30.00,3.47,15.27,-10.64,-4.11,11.05,4,Yes
17100,0,IGDIR,TURKEY,39.93,44.03,858,30.00,12.75,25.95,-2.31,4.58,20.91,7,Yes
17112,0,CANAKKALE,TURKEY,40.13,26.4,3,55.00,14.96,24.80,6.29,9.58,20.34,8,Yes
17115,0,BANDIRMA,TURKEY,40.32,27.97,49,30.00,14.26,23.35,5.28,9.06,19.46,8,Yes
17116,0,BURSA,TURKEY,40.18,29.07,100,55.08,14.09,24.00,4.87,8.47,19.71,8,Yes
17124,0,ESKISEHIR,TURKEY,39.78,30.57,785,33.08,11.20,21.31,0.13,4.99,17.42,7,Yes
17124,1,KUTAHYA,TURKEY,39.4,30,969,30.00,10.81,20.29,0.57,5.05,16.57,7,No
17128,0,ANKARA/ESENBO,TURKEY,40.12,32.98,949,30.00,9.80,20.10,-1.50,3.59,16.01,6,Yes
17128,4,CANKIRI,TURKEY,40.6,33.6,751,40.00,11.58,22.76,0.08,4.78,18.38,7,Yes
17130,0,ANKARA/CENTRAL,TURKEY,40,32.9,894,78.00,11.59,22.58,0.15,4.97,18.21,7,Yes
17140,0,YOZGAT,TURKEY,39.83,34.82,1298,30.00,9.30,19.23,-1.45,3.23,15.38,6,No
17150,0,BALIKESIR,TURKEY,39.62,27.92,102,39.00,14.66,24.33,4.98,8.93,20.38,8,Yes
17160,0,KIRSEHIR,TURKEY,39.13,34.17,1007,39.83,11.40,22.46,0.34,4.89,17.91,7,Yes
17170,0,VAN,TURKEY,38.45,43.32,1661,52.25,8.84,21.74,-3.71,1.37,16.32,6,Yes
17184,0,AKHISAR,TURKEY,38.92,27.85,93,30.00,16.40,26.52,6.60,10.43,22.36,9,No
17186,1,MANISA,TURKEY,38.6,27.4,75,30.00,17.06,27.53,7.14,11.02,23.11,9,No
17188,0,USAK,TURKEY,38.67,29.42,919,40.92,12.64,23.07,2.80,6.67,18.61,7,Yes
17190,0,AFYON,TURKEY,38.75,30.53,1034,55.17,10.87,21.65,0.10,4.50,17.24,6,Yes
17190,1,AKSEHIR,TURKEY,38.4,31.4,1010,30.00,12.03,21.88,1.74,6.17,17.89,7,No
17193,0,NEVSEHIR,TURKEY,38.62,34.72,1260,30.00,10.56,20.15,-0.17,4.63,16.48,7,No
17195,0,KAYSERI/ERKIL,TURKEY,38.78,35.48,1054,31.17,9.94,21.80,-2.21,2.83,17.05,7,No
17195,3,KAYSERI,TURKEY,38.7,35.5,1068,30.00,10.44,20.77,-1.10,4.21,16.68,7,Yes
17200,0,MALATYA/ERHAC,TURKEY,38.43,38.08,849,44.58,13.02,26.15,-0.45,5.18,20.85,7,Yes
17202,0,ELAZIG,TURKEY,38.6,39.28,882,40.00,13.17,26.91,-0.84,5.10,21.25,7,Yes
17210,0,SIIRT,TURKEY,37.93,42,895,52.17,16.12,30.35,2.91,8.23,24.02,8,Yes
17220,1,IZMIR               TURKEY,TURKEY,38.4,27.3,25,91.50,17.38,27.45,8.21,11.78,22.98,10,Yes
17240,0,ISPARTA,TURKEY,37.75,30.55,997,55.08,11.91,23.23,1.58,5.48,18.33,7,Yes
17240,1,BURDUR,TURKEY,37.7,30.3,967,30.00,12.76,23.51,2.41,6.60,18.92,7,No
17244,0,KONYA,TURKEY,37.97,32.55,1022,52.33,11.02,22.68,-0.45,4.13,17.90,7,Yes
17244,3,BEYSEHIR,TURKEY,37.7,31.7,1129,30.00,10.82,21.25,0.20,4.68,16.95,6,No
17248,1,KARAMAN,TURKEY,37.2,33.2,1025,30.00,11.82,22.53,0.76,5.47,18.17,7,No
17250,0,NIGDE,TURKEY,37.97,34.68,1208,42.58,11.06,21.96,-0.23,4.61,17.51,7,No
17255,0,KAHRAMANMARAS,TURKEY,37.6,36.93,549,40.92,16.64,28.19,4.87,9.78,23.51,9,No
17260,0,GAZIANTEP,TURKEY,37.08,37.37,855,40.00,15.13,27.77,3.14,7.91,22.35,7,Yes
17260,1,KILIS,TURKEY,36.7,37.1,638,30.00,16.97,28.07,5.31,10.36,23.58,9,No
17270,0,URFA,TURKEY,37.13,38.77,547,62.08,18.14,31.60,5.59,10.56,25.73,9,Yes
17275,1,CEYLANPINAR,TURKEY,36.9,40.1,398,30.00,17.82,30.84,5.39,10.42,25.23,9,No
17280,0,DIYARBAKIR,TURKEY,37.88,40.18,677,75.08,15.25,30.45,1.50,6.88,23.62,7,Yes
17285,0,HAKKARI,TURKEY,37.57,43.77,1720,41.17,10.31,24.47,-4.04,2.12,18.50,6,No
17290,0,BODRUM,TURKEY,37.03,27.42,27,30.00,19.27,27.99,11.54,14.59,23.96,12,No
17292,0,MUGLA,TURKEY,37.2,28.35,646,55.08,14.96,26.07,5.53,8.93,21.00,8,Yes
17300,0,ANTALYA,TURKEY,36.7,30.73,57,74.08,18.01,27.89,9.36,12.67,23.34,10,Yes
17320,0,ANAMUR,TURKEY,36.1,32.83,4,30.00,19.59,27.65,12.45,15.45,23.73,12,No
17330,0,SILIFKE,TURKEY,36.37,33.93,15,30.00,19.02,27.63,10.05,14.19,23.85,12,No
17340,0,MERSIN,TURKEY,36.82,34.6,3,42.50,19.00,27.48,10.66,14.33,23.67,12,No
17350,0,ADANA/INCIRLI,TURKEY,37,35.42,66,62.00,19.58,29.08,10.08,14.21,24.94,12,Yes
17370,0,ISKENDERUN,TURKEY,36.58,36.17,3,30.00,19.72,27.73,11.48,15.22,24.22,12,Yes
17370,4,ISLAHIYE,TURKEY,37,36.6,518,30.00,16.77,27.81,5.01,10.18,23.36,9,No
17375,0,FINIKE,TURKEY,36.3,30.15,3,30.00,18.38,26.53,11.22,14.07,22.69,12,No
17375,1,ELMALI,TURKEY,36.8,29.9,1113,30.00,12.83,23.38,2.35,6.78,18.87,7,No
